Компонент,Наименование партии,Наименование показателя,Единица измерения_по_партиям,Значение показателя,method,param_base_name,cleaned_value,smiles
Базовое_масло_7,0575.23,"Индекс вязкости, ГОСТ 25371",–,92,ГОСТ 25371,Индекс вязкости,92.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0575.23,"Испаряемость по NOACK, ASTM D5800",%,6.1,ASTM D5800,Испаряемость по NOACK,6.1,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0575.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,77.46,ASTM D445,"Кинематическая вязкость, при 40°C",77.46,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0575.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.16,ASTM D445,"Кинематическая вязкость, при 100°C",9.16,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0575.23,"Массовая доля кальция, ASTM D6481",% масс,0.0002,ASTM D6481,Массовая доля кальция,0.0002,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0575.23,"Массовая доля серы, ASTM D6481",% масс,0.0686,ASTM D6481,Массовая доля серы,0.0686,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0575.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0002,ASTM D6481,Массовая доля фосфора,0.0002,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0575.23,"Массовая доля цинка, ASTM D6481",% масс,0.0002,ASTM D6481,Массовая доля цинка,0.0002,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0575.23,Последовательность 1 | ASTM D892,см³,20,ASTM D892,Последовательность 1 |,20.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0575.23,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0575.23,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0575.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-19,ГОСТ 20287,Температура застывания,-19.0,CCCCCCCCCCCCCCCCCCCC
Депрессорная_присадка_1,с ЦП 28.02.2024,,,,No Method,nan,,CC(=C)C(=O)OCCCCCCCCCCCC
Антипенная_присадка_1,3% р-р в МУОБР,,,,No Method,nan,,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
Противоизносная_присадка_28,0784.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,10.15,ASTM D445,"Кинематическая вязкость, при 100°C",10.15,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Противоизносная_присадка_28,0784.24,"Массовая доля кальция, ASTM D6481",% масс,0.001,ASTM D6481,Массовая доля кальция,0.001,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Противоизносная_присадка_28,0784.24,"Массовая доля серы, ASTM D6481",% масс,16.46,ASTM D6481,Массовая доля серы,16.46,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Противоизносная_присадка_28,0784.24,"Массовая доля фосфора, ASTM D6481",% масс,8.82,ASTM D6481,Массовая доля фосфора,8.82,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Противоизносная_присадка_28,0784.24,"Массовая доля цинка, ASTM D6481",% масс,9.17,ASTM D6481,Массовая доля цинка,9.17,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Базовое_масло_3,0886.24,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,411,ASTM D5293,Динамическая вязкость CCS -15°C,411.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,626,ASTM D5293,Динамическая вязкость CCS -20°C,626.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1004,ASTM D5293,Динамическая вязкость CCS -25°C,1004.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1695,ASTM D5293,Динамическая вязкость CCS -30°C,1695.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,3071,ASTM D5293,Динамическая вязкость CCS -35°C,3071.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,"Индекс вязкости, ГОСТ 25371",–,126,ГОСТ 25371,Индекс вязкости,126.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,"Испаряемость по NOACK, ASTM D5800",%,15,ASTM D5800,Испаряемость по NOACK,15.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,21.19,ASTM D445,"Кинематическая вязкость, при 40°C",21.19,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.48,ASTM D445,"Кинематическая вязкость, при 100°C",4.48,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,"Массовая доля кальция, ASTM D6481",% масс,0.0001,ASTM D6481,Массовая доля кальция,0.0001,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,"Массовая доля серы, ASTM D6481",% масс,0.0007,ASTM D6481,Массовая доля серы,0.0007,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,"Массовая доля фосфора, ASTM D6481",% масс,0.00002,ASTM D6481,Массовая доля фосфора,2e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,"Массовая доля цинка, ASTM D6481",% масс,0.00007,ASTM D6481,Массовая доля цинка,7e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,Последовательность 1 | ASTM D892,см³,0,ASTM D892,Последовательность 1 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0886.24,"Температура застывания, ГОСТ 20287, метод Б",°C,-21,ГОСТ 20287,Температура застывания,-21.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,535,ASTM D5293,Динамическая вязкость CCS -15°C,535.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,842,ASTM D5293,Динамическая вязкость CCS -20°C,842.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1398,ASTM D5293,Динамическая вязкость CCS -25°C,1398.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2472,ASTM D5293,Динамическая вязкость CCS -30°C,2472.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,"Индекс вязкости, ГОСТ 25371",–,113,ГОСТ 25371,Индекс вязкости,113.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,"Испаряемость по NOACK, ASTM D5800",%,13.3,ASTM D5800,Испаряемость по NOACK,13.3,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.94,ASTM D445,"Кинематическая вязкость, при 40°C",22.94,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.56,ASTM D445,"Кинематическая вязкость, при 100°C",4.56,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,"Массовая доля кальция, ASTM D6481",% масс,0.0002,ASTM D6481,Массовая доля кальция,0.0002,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,"Массовая доля серы, ASTM D6481",% масс,0.00007,ASTM D6481,Массовая доля серы,7e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,"Массовая доля фосфора, ASTM D6481",% масс,0.00002,ASTM D6481,Массовая доля фосфора,2e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,"Массовая доля цинка, ASTM D6481",% масс,0.00004,ASTM D6481,Массовая доля цинка,4e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,Последовательность 1 | ASTM D892,см³,0,ASTM D892,Последовательность 1 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0766.24,"Температура застывания, ГОСТ 20287, метод Б",°C,-26,ГОСТ 20287,Температура застывания,-26.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,2344,ASTM D5293,Динамическая вязкость CCS -15°C,2344.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,4083,ASTM D5293,Динамическая вязкость CCS -20°C,4083.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,7514,ASTM D5293,Динамическая вязкость CCS -25°C,7514.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,14665,ASTM D5293,Динамическая вязкость CCS -30°C,14665.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,"Индекс вязкости, ГОСТ 25371",–,116,ГОСТ 25371,Индекс вязкости,116.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,"Испаряемость по NOACK, ASTM D5800",%,3.1,ASTM D5800,Испаряемость по NOACK,3.1,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,57.8,ASTM D445,"Кинематическая вязкость, при 40°C",57.8,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,8.35,ASTM D445,"Кинематическая вязкость, при 100°C",8.35,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,"Массовая доля кальция, ASTM D6481",% масс,0.00021,ASTM D6481,Массовая доля кальция,0.00021,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,"Массовая доля серы, ASTM D6481",% масс,0.00038,ASTM D6481,Массовая доля серы,0.00038,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,"Массовая доля фосфора, ASTM D6481",% масс,0.00002,ASTM D6481,Массовая доля фосфора,2e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,"Массовая доля цинка, ASTM D6481",% масс,0.00002,ASTM D6481,Массовая доля цинка,2e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,Последовательность 1 | ASTM D892,см³,0,ASTM D892,Последовательность 1 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0767.24,"Температура застывания, ГОСТ 20287, метод Б",°C,-22,ГОСТ 20287,Температура застывания,-22.0,CCCCCCCCCCCCCCCCCCCC
Загуститель_1,"0435.24 9,8% во 2 гр","Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,469.9,ASTM D445,"Кинематическая вязкость, при 100°C",469.9,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,Деэм.вода | ASTM D1401,мл,39,ASTM D1401,Деэм.вода |,39.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,Деэм.время | ASTM D1401,мин,5,ASTM D1401,Деэм.время |,5.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,Деэм.масло | ASTM D1401,мл,41,ASTM D1401,Деэм.масло |,41.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,Деэм.эмульсия | ASTM D1401,мл,0,ASTM D1401,Деэм.эмульсия |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1206,ASTM D5293,Динамическая вязкость CCS -15°C,1206.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2249,ASTM D5293,Динамическая вязкость CCS -20°C,2249.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4651,ASTM D5293,Динамическая вязкость CCS -25°C,4651.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10139,ASTM D5293,Динамическая вязкость CCS -30°C,10139.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,"Индекс вязкости, ГОСТ 25371",–,98,ГОСТ 25371,Индекс вязкости,98.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,"Испаряемость по NOACK, ASTM D5800",%,13.7,ASTM D5800,Испаряемость по NOACK,13.7,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,32.45,ASTM D445,"Кинематическая вязкость, при 40°C",32.45,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.38,ASTM D445,"Кинематическая вязкость, при 100°C",5.38,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,"Массовая доля кальция, ASTM D6481",% масс,0.0003,ASTM D6481,Массовая доля кальция,0.0003,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,"Массовая доля серы, ASTM D6481",% масс,0.0267,ASTM D6481,Массовая доля серы,0.0267,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,Последовательность 1 | ASTM D892,см³,0,ASTM D892,Последовательность 1 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0407.24,"Температура застывания, ГОСТ 20287, метод Б",°C,-18,ГОСТ 20287,Температура застывания,-18.0,CCCCCCCCCCCCCCCCCCCC
Депрессорная_присадка_1,DPM-301,,,,No Method,nan,,CC(=C)C(=O)OCCCCCCCCCCCC
Базовое_масло_1,0760.25,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,781,ASTM D5293,Динамическая вязкость CCS -20°C,781.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0760.25,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1258,ASTM D5293,Динамическая вязкость CCS -25°C,1258.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0760.25,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2198,ASTM D5293,Динамическая вязкость CCS -30°C,2198.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0760.25,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,4047,ASTM D5293,Динамическая вязкость CCS -35°C,4047.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0760.25,"Индекс вязкости, ГОСТ 25371",–,113,ГОСТ 25371,Индекс вязкости,113.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0760.25,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,21.84,ASTM D445,"Кинематическая вязкость, при 40°C",21.84,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0760.25,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.43,ASTM D445,"Кинематическая вязкость, при 100°C",4.43,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0760.25,"Плотность при 15°С, ASTM D4052",кг/м³,843.5,ASTM D4052,Плотность при 15°С,843.5,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0760.25,"Плотность при 20°С, ASTM D4052",кг/м³,840.3,ASTM D4052,Плотность при 20°С,840.3,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,0760.25,"Температура застывания, ГОСТ 20287, метод Б",°C,-23,ГОСТ 20287,Температура застывания,-23.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,02375.24,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,491,ASTM D5293,Динамическая вязкость CCS -15°C,491.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,02375.24,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,777,ASTM D5293,Динамическая вязкость CCS -20°C,777.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,02375.24,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1321,ASTM D5293,Динамическая вязкость CCS -25°C,1321.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,02375.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2359,ASTM D5293,Динамическая вязкость CCS -30°C,2359.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,02375.24,"Индекс вязкости, ГОСТ 25371",–,112,ГОСТ 25371,Индекс вязкости,112.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,02375.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.72,ASTM D445,"Кинематическая вязкость, при 40°C",22.72,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,02375.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.52,ASTM D445,"Кинематическая вязкость, при 100°C",4.52,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,02375.24,"Температура застывания, ГОСТ 20287, метод Б",°C,-26,ГОСТ 20287,Температура застывания,-26.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0962.25,"Индекс вязкости, ГОСТ 25371",–,120,ГОСТ 25371,Индекс вязкости,120.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0962.25,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,53.5,ASTM D445,"Кинематическая вязкость, при 40°C",53.5,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0962.25,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,8.06,ASTM D445,"Кинематическая вязкость, при 100°C",8.06,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,0962.25,"Температура застывания, ГОСТ 20287, метод Б",°C,-11,ГОСТ 20287,Температура застывания,-11.0,CCCCCCCCCCCCCCCCCCCC
Детергент_1,0432.25,"Массовая доля кальция, ASTM D6481",% масс,15.76,ASTM D6481,Массовая доля кальция,15.76,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Ca]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_1,0432.25,"Щелочное число, ASTM D2896",мг KOH/г,410.9,ASTM D2896,Щелочное число,410.9,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Ca]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Противоизносная_присадка_6,01036.25,,,,No Method,nan,,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Противоизносная_присадка_4,П. 76-290624-681,,,,No Method,nan,,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Депрессорная_присадка_1,0862.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,1828,ASTM D445,"Кинематическая вязкость, при 40°C",1828.0,CC(=C)C(=O)OCCCCCCCCCCCC
Депрессорная_присадка_1,0862.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,315.1,ASTM D445,"Кинематическая вязкость, при 100°C",315.1,CC(=C)C(=O)OCCCCCCCCCCCC
Базовое_масло_5,01056.25,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,3534,ASTM D5293,Динамическая вязкость CCS -20°C,3534.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,01056.25,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,6400,ASTM D5293,Динамическая вязкость CCS -25°C,6400.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,01056.25,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,12688,ASTM D5293,Динамическая вязкость CCS -30°C,12688.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,01056.25,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,25376,ASTM D5293,Динамическая вязкость CCS -35°C,25376.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,01056.25,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,54.13,ASTM D445,"Кинематическая вязкость, при 40°C",54.13,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,01056.25,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,8.09,ASTM D445,"Кинематическая вязкость, при 100°C",8.09,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,01056.25,"Температура застывания, ГОСТ 20287, метод Б",°C,0,ГОСТ 20287,Температура застывания,0.0,CCCCCCCCCCCCCCCCCCCC
Детергент_1,9521.25,,,,No Method,nan,,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Ca]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Загуститель_1,с ЦП/MSF,,,,No Method,nan,,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0858.25,"Индекс вязкости, ГОСТ 25371",–,101,ГОСТ 25371,Индекс вязкости,101.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0858.25,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,32.12,ASTM D445,"Кинематическая вязкость, при 40°C",32.12,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,0858.25,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.393,ASTM D445,"Кинематическая вязкость, при 100°C",5.393,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0566.25,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,12103,ASTM D5293,Динамическая вязкость CCS -20°C,12103.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0566.25,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,24200,ASTM D5293,Динамическая вязкость CCS -25°C,24200.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0566.25,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,48400,ASTM D5293,Динамическая вязкость CCS -30°C,48400.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0566.25,"Индекс вязкости, ГОСТ 25371",–,92,ГОСТ 25371,Индекс вязкости,92.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0566.25,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,77.39,ASTM D445,"Кинематическая вязкость, при 40°C",77.39,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0566.25,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.15,ASTM D445,"Кинематическая вязкость, при 100°C",9.15,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0566.25,"Температура застывания, ГОСТ 20287, метод Б",°C,-15,ГОСТ 20287,Температура застывания,-15.0,CCCCCCCCCCCCCCCCCCCC
Антипенная_присадка_1,от 22.04.2025,,,,No Method,nan,,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
Базовое_масло_14,_22.04.2025,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,13,ASTM D5293,Динамическая вязкость CCS -15°C,13.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_14,_22.04.2025,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,25,ASTM D5293,Динамическая вязкость CCS -20°C,25.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_14,_22.04.2025,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,50,ASTM D5293,Динамическая вязкость CCS -25°C,50.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_14,_22.04.2025,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,100,ASTM D5293,Динамическая вязкость CCS -30°C,100.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_14,_22.04.2025,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,200,ASTM D5293,Динамическая вязкость CCS -35°C,200.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_14,_22.04.2025,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,2.54,ASTM D445,"Кинематическая вязкость, при 40°C",2.54,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_14,_22.04.2025,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1.02,ASTM D445,"Кинематическая вязкость, при 100°C",1.02,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,02509.25,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,477,ASTM D5293,Динамическая вязкость CCS -15°C,477.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,02509.25,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,746,ASTM D5293,Динамическая вязкость CCS -20°C,746.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,02509.25,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1233,ASTM D5293,Динамическая вязкость CCS -25°C,1233.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,02509.25,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2112,ASTM D5293,Динамическая вязкость CCS -30°C,2112.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,02509.25,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,21.61,ASTM D445,"Кинематическая вязкость, при 40°C",21.61,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,02509.25,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.428,ASTM D445,"Кинематическая вязкость, при 100°C",4.428,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_5,02510.25,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1816,ASTM D5293,Динамическая вязкость CCS -15°C,1816.0,CCCCCCCCCCCCCCCCCCCC
